Name,E-mail,Trade Name,Registration No.,Telephone,Address,Exchange Name,Validity
FINVASIA SECURITIES PRIVATE LIMITED,ccofspl@finvasia.com,Ccofspl,INZ000176037,9101724003400,1108 SECTOR 21-B,NSE Clearing Limited,"Apr 17, 2013 - Perpetual"
FINWIZARD TECHONOLOGY PRIVATE LIMITED,subu@fisdome.com,Subu,INZ000209036,9108030408363,"Queens Paradise, 1st floor, Curve Road, Shivajinagar,",BOMBAY STOCK EXCHANGE LIMITED,"Nov 14, 2018 - Perpetual"
FIRST GLOBAL STOCKBROKING PRIVATE LIMITED,info@firstglobal.in,Info,INZ000210739,9101161304122,"15/38, G/F GEETA COLONY, BACK PORTION MOTHER DAIRY, KRISHNA NAGAR",INDIAN CLEARING CORPORATION LIMITED(ICCL),"May 29, 1995 - Perpetual"
FIRST INDIA SECURITIES PVT. LTD.,first.india.sec@gmail.com,First.india.sec,INZ000224338,9102222040721,"25, MAKER CHAMBERS VI, 220, NARIMAN POINT",BOMBAY STOCK EXCHANGE LIMITED,"Oct 07, 2005 - Perpetual"
FLORA SECURITIES,dinesh@florasecurities.com,Dinesh,INZ000288526,9102226556124,"1 FLOOR,A/4,GURUNANK ROAD NOOTAN NAGAR, BANDRA (W)",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Dec 16, 1994 - Perpetual"
FLOURISH FINCAP PRIVATE LIMITED,flourishfincap@yahoo.com,Flourishfincap,INZ000191536,001123238344,"409 & 416,ESSEL HOUSE 10, ASAF ALI ROAD,EAST DELHI",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Jul 31, 2008 - Perpetual"
FLUX CAPITAL PRIVATE LIMITED,fluxcapital.pvt@gmail.com,Fluxcapital.pvt,INZ000297535,01204150184,"FLAT NO. 712, IMPERIAL BLOCK SECTOR-9, SUPERTECH ESTATE, VAISHALI",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Dec 23, 2020 - Perpetual"
FOCUS STOCK BROKERS LTD,focusstock@yahoo.com,Focusstock,INZ000288836,9101128714145,"1C/13, NEW ROHTAK ROAD",BOMBAY STOCK EXCHANGE LIMITED,"Jun 12, 1996 - Perpetual"
FOCUS SHARES & SECURITIES PRIVATE LIMITED,bhawani@focuscomtrade.com,Bhawani,INZ000185331,02267473709,"405, 4TH FLOOR, PLOT -206, DALAMAL HOUSE JAMNALAL BAJAJ MARG, NARIMAN POINT",METROPOLITAN STOCK EXCHANGE,"Apr 23, 2008 - Perpetual"
FORT SHARE BROKING PRIVATE LIMITED,fort_sh@yahoo.co.in,Fort_sh,INZ000236431,9103322894497,"9, Rawdon Street 2nd Floor, Room No.7",BOMBAY STOCK EXCHANGE LIMITED,"Jul 28, 2006 - Perpetual"
FORTUNE CAPITAL SERVICES,klg@fortunecapitalservices.com,Klg,INZ000278225,9101123713874,"812,ARUNACHAL 19,BARAKHAMBA ROAD",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Jun 12, 2008 - Perpetual"
FORTUNE CAPITAL SERVICES PRIVATE LIMITED,knarayanamoorthy@ftconline.in,Knarayanamoorthy,INZ000201438,9104445609677,"Kochar Technology Park, 6th Floor, SP 31-A,1st Cross Road, Ambattur Industrial Estate,Ambattur Chennai",BOMBAY STOCK EXCHANGE LIMITED,"May 21, 2012 - Perpetual"
FORTUNE FISCAL LTD,ffl@ad1.vsnl.net.in,Ffl,INZ000247236,910265363174,"208,BLUE CHIP,DALAL STREET SAYAJIGANJ",BOMBAY STOCK EXCHANGE LIMITED,"Nov 22, 1995 - Perpetual"
FORTUNE INTERFINANCE LTD.,info@fifi.co.in,Info,INZ000178035,003322101153,"FLAT NO.2 & 3,GROUND FLOOR,19,BRITISH INDIA STREET KOLKATA",BOMBAY STOCK EXCHANGE LIMITED,"Oct 26, 2005 - Perpetual"
FORTUNE WEALTH MANAGEMENT CO. INDIA (P) LTD.,ceo-fortunewmc@yahoo.co.in,Ceo-fortunewmc,INZ000190535,04222217381,"1056, AVINASHI ROAD, OPP THE NILGIRIS",BOMBAY STOCK EXCHANGE LIMITED,"Apr 16, 2004 - Perpetual"
FOURDEGREEWATER SERVICES PRIVATE LIMITED,anshg64@gmail.com,Anshg64,INZ000313632,919840075987,"86/1, Yellappa Reddy Layout Bannerghatta Road, Arakere",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Jul 13, 2023 - Perpetual"
FRONTLINE CAPITAL SERVICES PRIVATE LIMITED,fcsl@fcslindia.com,Fcsl,INZ000179633,01202532832,B-22 SECTOR-4 NOIDA,BOMBAY STOCK EXCHANGE LIMITED,"Oct 06, 1995 - Perpetual"
FRR SHARES AND SECURITIES LIMITED,janakmehta63@gmail.com,Janakmehta63,INZ000279232,9102222833825,"205, EMBASSY CENTRE, NARIMAN POINT,",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Aug 05, 2010 - Perpetual"
FYERS SECURITIES PRIVATE LIMITED,trinadh@fyers.in,Trinadh,INZ000008524,9108066251111,"NO 225 14TH CROSS ROAD,1ST BLOCK R T NAGAR",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Aug 06, 2015 - Perpetual"
G DAS CAPITAL MARKETS PRIVATE LIMITED,gdasgroup@rediffmail.com,Gdasgroup,INZ000282138,9102262396062,"B-305,KANAKIA WALL STREET,THIRD FLOOR,ANDHERI KURLA ROAD,NEAR CHAKALA SIGNAL,ANDHERI (E)",BOMBAY STOCK EXCHANGE LIMITED,"Dec 23, 1998 - Perpetual"
G.N.G. INVESTMENT LTD.,gnginv@eth.net,Gnginv,INZ000222336,9107930000332,"SHREE AMBICA,1,SARDAR PATEL NAGAR ELLISBRIDGE,AHMEDABAD",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Oct 06, 1995 - Perpetual"
GAINN FINTECH PRIVATE LIMITED,compliance@gainn.co.in,Compliance,INZ000305534,9109602911365,"408, L Wing, Narayan Plaza, Chandivali, Saki-Naka, Andheri East,",BOMBAY STOCK EXCHANGE LIMITED,"Mar 15, 2022 - Perpetual"
GANDHI SECURITIES & INVESTMENT PRIVATE LTD,rajesh@gsecin.com,Rajesh,INZ000248031,9102222653177,"9, Haji Kasam Bldg, 2ND Flr., 66, Tamarind Lane, Fort,",NSE Clearing Limited,"Jan 13, 1998 - Perpetual"
GANESH STOCKINVEST (P) LTD,murarijha@ganeshstock.com,Murarijha,INZ000191431,001146740018,"208-209, PARK N SHOP, L-BLOCK (MKT.), DLF PHASE II,",BOMBAY STOCK EXCHANGE LIMITED,"Oct 06, 1995 - Perpetual"
GANESHAM SECURITIES PRIVATE LIMITED,rishikant.ladia@ganeshamonline.com,Rishikant.ladia,INZ000231835,9103322131581,"9, INDIA EXCHANGE PLACE 8TH FLOOR,",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Jan 15, 2004 - Perpetual"
GANGANAGAR COMMODITY LIMITED,compliance@gclindia.co,Compliance,INZ000016737,01542481944,3/1947 VISHNU PURI,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Dec 11, 2015 - Perpetual"
GANGOUR INVESTMENTS LTD.,rlagarwala@satyam.net.in,Rlagarwala,INZ000253432,9103322489504,"MARTIN BURN HOUSE 1, R. N. MUKHERJEE ROAD 2ND FLOOR, SUITE NO 207",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Oct 19, 1995 - Perpetual"
GANPATI FINSEC PRIVATE LIMITED,info@ganpationline.com,Info,INZ000304538,01542483017,"37K Block, Sri Ganganagar",METROPOLITAN STOCK EXCHANGE,"Feb 28, 2022 - Perpetual"
GARG SECURITIES PVT. LTD.,garg.broekr@yahoo.com,Garg.broekr,INZ000251333,910112427850,"1, GULATI COMPLEX SAKCHIEAST SINGHBHUM JHARKHAND",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Feb 07, 2006 - Perpetual"
GARIMA CAPITAL PVT. LTD.,jrmagoel@yahoo.co.in,Jrmagoel,INZ000215138,9101141526772,"3, TANSEN MARG-BENGALI MARKET",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Oct 19, 1995 - Perpetual"
GATEWAY FINANCIAL SERVICES LTD,pka_agr2003@yahoo.co.in,Pka_agr2003,INZ000247937,910334755613,"JASMINE TOWER,31 SHAKESPEARE SARANI, 2ND FLOOR, ROOM NO 209-210",BOMBAY STOCK EXCHANGE LIMITED,"Aug 26, 1996 - Perpetual"
GCM SECURITIES LIMITED,gcmsecurities@yahoo.in,Gcmsecurities,INZ000255131,9103322481053,"3B, Lal Bazar Street, Lal Bazar,",NSE Clearing Limited,"Oct 06, 1995 - Perpetual"
GDB SHARE & STK BRO. SER. LTD.,gdbss@hotmail.com,Gdbss,INZ000193238,00332364295,"5TH FLOOR 17,GANESH CHANDRA AVENUE",BOMBAY STOCK EXCHANGE LIMITED,"Sep 14, 1995 - Perpetual"
GEE BEE SECURITIES PVT. LTD.,rakesh_baid@yahoo.com,Rakesh_baid,INZ000204633,9103366145325,"5, CLIVE ROW, SARVAMANGALA BUILDING 4th FLOOR, ROOM NO. 82-84",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Feb 23, 2005 - Perpetual"
GENUINE STOCK BROKERS PRIVATE LIMITED,genuine1996@gmail.com,Genuine1996,INZ000243831,9107926769700,"B 601,6th Floor, Gopal Palace Opp Choice Restaurant, Nehrunagar, Satellite",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"May 08, 2007 - Perpetual"
GEOJIT FINANCIAL SERVICES LIMITED,compliance@geojit.com,Compliance,INZ000104737,04842901000,"11TH FLOOR, 34/ 659-P, CIVIL LINE ROAD, PADIVATTOM, KOCHI",INDIAN CLEARING CORPORATION LIMITED(ICCL),"May 09, 2017 - Perpetual"
GEPL CAPITAL PRIVATE LIMITED,compliancedesk@geplcapital.com,Compliancedesk,INZ000168137,9102266182445,"D-21, Dhanraj Mahal, CSM Marg, Colaba,",NSE Clearing Limited,"Jan 13, 1998 - Perpetual"
GFX INVESTMENTS & FINANCIAL SERVICES,info@gfxinvestments.com,Info,INZ000206227,910220222352013,"GROUND FLOOR, K.P.C. BUILDING, 30 BHULABHAI DESAI ROAD, MAHALAXMI,",METROPOLITAN STOCK EXCHANGE,"Feb 14, 2013 - Perpetual"
GHALLA BHANSALI STOCK BROKERS PVT. LTD.,swatis@ghallabhansali.com,Swatis,INZ000236038,9102240497000,"Devansh, 133, D.S.P. Road, Dadar (East),",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Mar 06, 1997 - Perpetual"
GHANSHYAM SHARES & STOCK BROKERS PVT. LTD.,gssbpl101@gmail.com,Gssbpl101,INZ000245133,9102222035957,"24, MEHTA BUILDING, ROOM NO 15, 3RD FLOOR, 2ND FANASWADI, DADISETH AGIARY LANE,",BOMBAY STOCK EXCHANGE LIMITED,"Jan 12, 1996 - Perpetual"
GILL BROKING PRIVATE LIMITED,gillbroking@gmail.com,Gillbroking,INZ000168338,911141704797,"F-1098, Second Floor CR Park",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Mar 19, 2018 - Perpetual"
GIRIRAJ STOCK BROKING PRIVATE LIMITED,girirajstock@yahoo.com,Girirajstock,INZ000212638,9103340054517,"HMP HOUSE 4, FAIRLIE PLACE, ROOM NO. 421A,",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Sep 02, 2011 - Perpetual"
GKN SECURITIES,gknsecurities@gmail.com,Gknsecurities,INZ000190027,0919820164952,"502A/502B, 5TH FLOOR, TOWER A, WTC GIFT CITY, PLOT NOS. 51A & 51B BLOCK NO. 51, ROAD 5E, ZONE 5, GIFT CITY",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"May 04, 2009 - Perpetual"
GLOBAL VISION SECURITIES (P) LTD,gvsecpl@yahoo.co.in,Gvsecpl,INZ000204136,9103365455035,"PODDAR COURT, 18, RABINDRA SARANI GATE NO-3, 5TH FLOOR, ROOM NO- 2",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Aug 30, 1995 - Perpetual"
GLOBALWORTH SECURITIES LIMITED,compliance@globalworth.in,Compliance,INZ000189732,9102221010000,"716, 7th Floor, Neelkanth Corporate Park, Kirol Road, Near Vidyavihar Railway Station, Vidyavihar (W),",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Aug 12, 2010 - Perpetual"
GLOBE CAPITAL (IFSC) LIMITED,ifsclearing@globecapital.com,Ifsclearing,INZ000097337,01130412345,"Unit No. 223, 2nd Floor, Signature Building, Block 13B, Road 1C, Zone 1, GIFT SEZ, GIFT CITY,",INDIA INTERNATIONAL EXCHANGE (IFSC) LIMITED,"Jan 11, 2017 - Perpetual"
GLOBE CAPITAL MARKET LTD,compliance@globecapital.com,Compliance,INZ000177137,01130412345,"609,ANSAL BHAWAN 16,KASTURBA GANDHI MARG",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Nov 15, 1994 - Perpetual"
GLOBE COMMODITIES LIMITED,commcompliance@globecapital.com,Commcompliance,INZ000024939,01130412345,804 ANSAL BHAWAN 16 KG MARG,INDIAN CLEARING CORPORATION LIMITED(ICCL),"Dec 16, 2015 - Perpetual"
GLOBE DERIVATIVES AND SECURITIES LIMITED,vidursabharwal@globecapital.com,Vidursabharwal,INZ000312637,01130412345,"609, Ansal Bhawan 16 K.G. Marg,Connaught Place New Delhi",NSE Clearing Limited,"Jun 05, 2023 - Perpetual"
GNG STOCK HOLDINGS PVT. LTD.,gngstock@hotmail.com,Gngstock,INZ000266439,9104425895412,"Y-12,LOHA MANDI NARAINA",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"May 18, 2005 - Perpetual"
GOENKA SECURITIES PVT. LTD.,gspl@gspltd.co.in,Gspl,INZ000265139,910339330120040,"14 A, LAKE TEMPLE ROAD 1ST FLOOR,",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Oct 19, 1995 - Perpetual"
GOENKA SHARE BROKING PRIVATE LIMITED,gsb_goenka@yahoo.com,Gsb_goenka,INZ000205032,9103340661013,"190A, MANICKTALA MAIN ROAD TIRUPATI GARDEN, 5TH FLOOR , ROOM-502",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Apr 23, 2008 - Perpetual"
GOGIA CAPITAL IFSC PRIVATE LIMITED,accounts@gogiacap.com,Accounts,INZ000099838,01149418868,"UNIT NO. 423, FOURTH FLOOR SIGNATURE BUILDING, BLOCK 13B, ROAD 1C, ZONE 1",INDIA INTERNATIONAL EXCHANGE (IFSC) LIMITED,"Jan 15, 2017 - Perpetual"
GOLDMAN SACHS (INDIA) SECURITIES PRIVATE LIMITED,ashok.lodha@gs.com,Ashok.lodha,INZ000277034,9102266169054,"951-A,RATIONAL HOUSE,APPASAHEB MARATHE MARG,PRABHADEVI",BOMBAY STOCK EXCHANGE LIMITED,"Dec 07, 2006 - Perpetual"
GOLDMINE STOCKS PVT. LTD.,anubhav@goldmine.net.in,Anubhav,INZ000182938,007926641080,"PO5-01 D, PO5-01 E, 5TH FLOOR ,TOWER -A, WTC GIFT CITY, ROAD-5E, ZONE 5, GIFT CITY",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Feb 27, 1996 - Perpetual"
GOOD FORTUNE CAPITALS PRIVATE LIMITED,goodfortunecapital@gmail.com,Goodfortunecapital,INZ000267437,9104272448702,"A/4,BHARATI STREET SWAMAPURI",METROPOLITAN STOCK EXCHANGE,"Sep 04, 2008 - Perpetual"
GOODFLOW SECURITIES PRIVATE LIMITED,harshad.parikh@goodflowsecurities.com,Harshad.parikh,INZ000303634,0919820055987,"A-503, PANCHSHEEL HEIGHTS, MAHAVIR NAGAR, KANDIVALI WEST, MUMBAI",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Feb 21, 2023 - Perpetual"
GOODWILL WEALTH MANAGEMENT PRIVATE LIMITED,admin@gwcindia.in,Admin,INZ000177036,04440205050,"NO 9, 2ND FLOOR, MASHA ALLAH BUILDING BHEEMA SENA GARDEN STREET, MYLAPORE",NSE Clearing Limited,"Apr 10, 2014 - Perpetual"
GOPALJI BROKING PRIVATE LIMITED,gopaljibroking@gmail.com,Gopaljibroking,INZ000298037,9101143027981,"203, Yamuna Tower, Saini Enclave, LSC,",BOMBAY STOCK EXCHANGE LIMITED,"Feb 18, 2021 - Perpetual"
GOPANI SECURITIES & INVESTMENTS PVT. LTD.,gopani@mtnl.net.in,Gopani,INZ000248439,9102267700474,"515-523,BHAVESHWAR ARCADE,ABOVE SARASWAT BANK, OPP. SHREYAS CINEMA,L.B.S MARG, GHATKOPAR (W)",BOMBAY STOCK EXCHANGE LIMITED,"Jul 22, 2005 - Perpetual"
GOVARDHAN EQUITY PRIVATE LIMITED,binoddalmia_1967@yahoo.com,Binoddalmia_1967,INZ000264933,9103323341172,"BD-12, SALT LAKE CITY, SECTOR - I,",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Jul 21, 2009 - Perpetual"
GOVIND PARIKH SECURITIES PVT. LTD.,7cgpspl@gmail.com,7cgpspl,INZ000261234,9104426480411,"7-C,EGA TRADE CENTRE,7TH FLOOR 809,POONAMALLEE HIGH ROAD,KILPAUK",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Aug 09, 2000 - Perpetual"
GOYAL CAPITAL SERVICES (INDIA) PVT. LTD.,ram8947@gmail.com,Ram8947,INZ000256132,9102228954400,"7,RAJ CRESCENT,ROYAL COMPLEX EKSAR ROAD BORIVALI (WEST)",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Aug 01, 2000 - Perpetual"
GPSK CAPITAL PRIVATE LIMITED,prashant@gpsk.in,Prashant,INZ000219831,9103340215670,"15A, HEMANTA BASU SARANI CONTINENTAL CHAMBERS, 4TH FLOOR",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Oct 17, 1995 - Perpetual"
GRAVITON RESEARCH CAPITAL LLP,operations@gravitontrading.com,Operations,INZ000002261,0919824378876,"P-02-02A-E, 2nd FLOOR, TOWER A, WTC GIFT CITY PLOT NO. 51A & 51B, BLOCK 51, ZONE 5, GIFT CITY",NSE Clearing Limited,"Aug 11, 2020 - Perpetual"
GRD SECURITIES IFSC LTD,grdifsc@grdgroupz.com,Grdifsc,INZ000098939,03330203129,"Unit No. 313, Signature Building, Third Floor, Block 13B Zone 1, GIFT SEZ",INDIA INTERNATIONAL EXCHANGE (IFSC) LIMITED,"Jan 15, 2017 - Perpetual"
GRD SECURITIES LTD.,customercare@grdgroupz.com,Customercare,INZ000193937,003330203129,"238A,AJC BOSE ROAD,6TH FLOOR RABINDRA SADAN METRO/ EXIDE BUILDING",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Aug 30, 2002 - Perpetual"
GREENBUCKS SECURITIES PRIVATE LIMITED,operations@greenbucksonline.com,Operations,INZ000291131,0919313954668,"H. NO. 161, 3RD FLOOR, BLK- B, LOK VIHAR ABOVE J&K BANK, PITAMPURA",BOMBAY STOCK EXCHANGE LIMITED,"Apr 22, 2010 - Perpetual"
GRESHMA SHARES & STOCKS LIMITED,greshmastocks@gmail.com,Greshmastocks,INZ000190130,912267776400,"124, VIRAJ, 41/42 S.V.ROAD, KHAR (WEST),",BOMBAY STOCK EXCHANGE LIMITED,"Oct 15, 2009 - Perpetual"
GRETEX SHARE BROKING LIMITED,arvind@gretexgroup.com,Arvind,INZ000166934,9102240025273,"Office No. 13, 1st Floor, New Bansilal Building, Raja Bahadur Mansion, 9-15, Homi Modi Street, Fort Mumbai Mumbai City MH 400023",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Jul 29, 2010 - Perpetual"
GRIP BROKING PRIVATE LIMITED,compliance@gripbroking.com,Compliance,INZ000312836,01244561500,"Flat No. 106, II F New Asiatic Building, H Block",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Jun 09, 2023 - Perpetual"
GRM SECURITIES (IFSC) PRIVATE LIMITED,rameshmohta@live.in,Rameshmohta,INZ000098137,913325219638,"Unit No. 324, Signature Building, Third Floor, Block 13B, Zone 1, GIFT SEZ",INDIA INTERNATIONAL EXCHANGE (IFSC) LIMITED,"Jan 15, 2017 - Perpetual"
GRM SECURITIES PRIVATE LIMITED,grmohta@hotmail.com,Grmohta,INZ000195031,913323340097,"FLAT-18, PRAN KISHORE APARTMENT, 4TH FLOOR, 122, CANNAL STREET, SHREEBHUMI, LAKE TOWN,",NSE Clearing Limited,"Nov 27, 2009 - Perpetual"
GROWTH SECURITIES PRIVATE LIMITED,growthdelhi@gmail.com,Growthdelhi,INZ000299236,91009910032394,"Unit No. 503A, 5th Floor, Tower A WTC Block No. 51, Road 5E, Zone-5, GIFT City,",BOMBAY STOCK EXCHANGE LIMITED,"Jun 01, 2021 - Perpetual"
GSB CAPITAL MARKETS LTD,gsb203@gmail.com,Gsb203,INZ000239834,9102222657084,"78/80, Ali Chamber, Tamarind Lane, Fort,",BOMBAY STOCK EXCHANGE LIMITED,"Sep 25, 1997 - Perpetual"
GSB SECURITIES PVT. LTD.,compliance@gsbgroup.co.in,Compliance,INZ000245032,9102226105577,"A/402,4TH FLOOR, ML SPACES, 63, D J ROAD,OPPOSITE MCDONALDS, VILE PARLE (WEST),",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Mar 14, 1996 - Perpetual"
GUJJU STOCKS TRADING PRIVATE LIMITED,gujju.stocks@gmail.com,Gujju.stocks,INZ000188233,9107929702116,"317, Platinum Plaza, Opp. IOC Petrol Pump, Judges Bunglow Road, Bodakdev,",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Feb 22, 2012 - Perpetual"
GULITA SECURITIES LTD.,viren@gulitasec.com,Viren,INZ000208530,9102243471722,"1105,RAHEJA CENTRE,11TH FLOOR, FREE PRESS JOURNAL ROAD,NARIMAN POINT,",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Feb 09, 2000 - Perpetual"
H.J. SECURITIES PVT. LTD.,backoffice@hjsecurities.com,Backoffice,INZ000240935,9102249214400,"201-202, REGENT CHAMBER 208, NARIMAN POINT,",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Dec 30, 1998 - Perpetual"
HARDIK FINTRADE PRIVATE LIMITED,hardikfin@hardikgroup.com,Hardikfin,INZ000203537,9107926581932,"1006-1008, B Wing, Atma House, Opp. Old RBI, Nr. Times of India Ashram Road, Navrangpura,",METROPOLITAN STOCK EXCHANGE,"Jun 10, 1997 - Perpetual"
HARENDRA D.MEHTA SHARE & STOCK BROKER PRIVATE LIMITED,bhm264@gmail.com,Bhm264,INZ000163932,9102222722392,"PG-12, ROTUNDA BLDG.,GR. FL., BOMBAY SAMACHAR MARG",BOMBAY STOCK EXCHANGE LIMITED,"Dec 30, 1997 - Perpetual"
HARIHAR SECURITIES PRIVATE LIMITED,compliance@hariharsecurities.com,Compliance,INZ000187633,003322624001,"268A, 4th Floor BB Ganguly Street",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Jan 22, 2010 - Perpetual"
HARISH KUMAR SINGHANIA,harishsighania@hotmail.com,Harishsighania,INZ000197211,9103324294920,"ORCHID GOLF,2ND FLOOR, 14/105,GOLF CLUB ROAD, TOLLYGUNGE, KOLKATA",BOMBAY STOCK EXCHANGE LIMITED,"Nov 30, 1992 - Perpetual"
HARJIVANDAS NEMIDAS SECURITIES PVT. LTD.,upb0007@gmail.com,Upb0007,INZ000256637,9102226001396,"1201,P.J.TOWERS,12TH FLOOR DALAL STREET, FORT",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Aug 21, 2002 - Perpetual"
HASMUKH LALBHAI SHARE BROKERS PVT. LTD.,hasmukhlalbhai@gmail.com,Hasmukhlalbhai,INZ000251236,9102222722814,"PS 23, ROTUNDA, 2ND FLOOR, MUMBAI SAMACHAR MARG,",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Aug 13, 2001 - Perpetual"
HAVEN FINANCIAL SERVICES PVT. LTD.,kalpesh@jjbshares.com,Kalpesh,INZ000213036,9102266721111,"306/307,SAGAR AVENUE,NEAR SHOPPERS STOP S. V. ROAD,ANDHERI (W)",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Sep 23, 1994 - Perpetual"
HB SECURITIES LIMITED,hbsl1@rediffmail.com,Hbsl1,INZ000246038,9101123325043,"H-72, CONNAUGHT CIRCUS",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Jun 29, 1994 - Perpetual"
HDFC SECURITIES LTD.,santosh.haldankar@hdfcsec.com,Santosh.haldankar,INZ000186937,00223075345,"I THINK TECHNO CAMPUS,BLD - B, ALPHA,OFFICE FLOOR 8 OPP. CROMPTON GREAVES, KANJURMARG EAST",METROPOLITAN STOCK EXCHANGE,"Jun 27, 2000 - Perpetual"
HEM FINLEASE PVT. LTD.,abhargava@hemsecurities.com,Abhargava,INZ000167734,911414051000,"203, JAIPUR TOWER, OPP. A.I.R., M.I. ROAD,",BOMBAY STOCK EXCHANGE LIMITED,"Jun 27, 2000 - Perpetual"
HEM SECURITIES LIMITED,info@hemsecurities.com,Info,INZ000168034,911414051000,"203, Jaipur Tower, M.I. Road",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Nov 05, 1999 - Perpetual"
HEMENDRAKUMAR KESHARICHAND SHAH,dhspubby@gmail.com,Dhspubby,INZ000222017,9102266345407,"5th Floor, Room No. 540, Rotunda Bldg., Bombay Stock Exchange, Fort,",BOMBAY STOCK EXCHANGE LIMITED,"Aug 04, 2022 - Perpetual"
HENSEX SECURITIES PRIVATE LIMITED,tahir@hensex.com,Tahir,INZ000209725,9102912720168,"PLOT NO. 7 BHAGAT KI KOTHI EXTENSION, NH - 65, PALI ROAD,",BOMBAY STOCK EXCHANGE LIMITED,"Mar 28, 2011 - Perpetual"
HINDUSTAN TECHNOSOL PRIVATE LIMITED,info@htplonline.com,Info,INZ000092238,01414069600,"101 ROYAL WORLD,SANSAR CHANDRA ROAD,",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Dec 16, 2015 - Perpetual"
HKKR FINSERV PRIVATE LIMITED,hkkrfinserve@gmail.com,Hkkrfinserve,INZ000312436,9101244088325,A 83 Phase 2 New Palam Vihar Gurugram,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"May 29, 2023 - Perpetual"
HOLANI CONSULTANTS PRIVATE LIMITED,info@holaniconsultants.co.in,Info,INZ000299835,01412203996,"401 to 405, 416 to 418, 4th Floor Soni Paris Point, Sawai Jai Singh Highway, Bani Park",BOMBAY STOCK EXCHANGE LIMITED,"Jun 29, 2021 - Perpetual"
HORIZON FINANCIAL CONSULTANTS PRIVATE LIMITED,r.agarwal@horizon.net.co,R.agarwal,INZ000171033,913340675333,"ROOM NO- 62, 56E,HEMANTA BASU SARANI, 4TH FLOOR,STEPHEN HOUSE,",BOMBAY STOCK EXCHANGE LIMITED,"Nov 08, 2011 - Perpetual"
HORIZON PORTFOLIO LTD.,hplnse@gmail.com,Hplnse,INZ000255037,9101127426321,"1852, OUTRAM LINES, KINGSWAY CAMP,",BOMBAY STOCK EXCHANGE LIMITED,"Oct 17, 1995 - Perpetual"
HOTLINE CAPITAL SERVICES PVT. LTD.,aneja27@gmail.com,Aneja27,INZ000288933,9101142503330,"302,3RD FLOOR,5,PUSA ROAD KAROL BAGH,",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Mar 28, 2001 - Perpetual"
HPMG SHARES AND SECURITIES PRIVATE LIMITED,hasit@hpmgshares.com,Hasit,INZ000187530,9102262317600,"B-201/202 RAJKAMAL, NEXT TO SHREEJI ARCADE, S.V ROAD, KANDIVALI (WEST)",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Jun 12, 2008 - Perpetual"
